Transaction_ID,Transaction_Date,Region,Product,Customer_ID,Sales_Amount,Cost_Amount,Profit_Reported,Discount_Percentage,Payment_Method
TXN11777,2024/06/11,,Product B,1000,41081,17466,23615,0,
TXN17261,26-07-2024,West,Product C,1098,24266,6925,17341,5,Debit Card
TXN46283,2024/08/10,North,Product B,1021,7561,28957,-21396,15,Debit Card
TXN97235,16-12-2024,,Product D,1026,49571,38971,10600,10,Cash
TXN11251,2024/01/03,,Product C,1046,22897,14345,8552,0,
TXN94273,19-07-2024,East,Product A,1084,41176,37999,3177,20,Debit Card
TXN91258,2024/04/11,West,Product B,1003,34389,8757,25632,20,
TXN26159,02-08-2024,West,Product C,1000,2614,34067,-30327,10,
TXN51034,04-04-2024,,Product A,1027,32188,10167,22021,0,Cash
TXN80991,2024/04/03,East,Product B,1016,36999,32369,4630,5,
TXN49473,2024/04/18,East,Product B,1059,2363,6145,-3782,20,Cash
TXN23007,2024/08/27,,Product A,1090,11272,13019,-1747,5,
TXN65634,2024/08/15,West,Product C,1020,30357,23689,6668,15,Debit Card
TXN18381,27-10-2024,East,Product B,1005,13337,25094,-11757,5,UPI
TXN71554,14-04-2024,North,Product A,1028,27054,18577,8477,5,Debit Card
TXN47563,2024/04/25,North,Product A,1046,39748,708,39040,10,Credit Card
TXN69332,11-02-2024,East,Product A,1061,32182,30951,1231,20,UPI
TXN88343,2024/07/07,,Product D,1082,5853,1524,4329,15,Cash
TXN65086,22-04-2024,East,Product A,1088,31326,15503,15823,15,
TXN81661,14-03-2024,East,Product D,1017,30209,28376,1833,20,Credit Card
TXN80145,2024/10/07,West,Product D,1061,14945,36906,-21961,15,UPI
TXN31968,24-08-2024,South,Product D,1052,8665,2243,6422,20,UPI
TXN60565,2024/08/15,North,Product D,1048,26126,34341,-8215,15,Debit Card
TXN43458,2024/07/16,,Product D,1011,9435,32125,-22690,10,Cash
TXN70480,2024/02/15,,Product A,1009,46089,35982,10107,15,Credit Card
TXN27474,2024/12/24,,Product B,1070,15209,21334,-6125,0,
TXN43285,2024/05/08,South,Product B,1082,12261,20042,-8561,15,
TXN69036,27-06-2024,South,Product A,1025,26895,8306,18589,20,
TXN21106,02-02-2024,,Product D,1016,28871,38460,-9589,15,
TXN81257,06-01-2024,West,Product B,1026,28457,1446,27011,5,UPI
TXN38132,19-02-2024,South,Product A,1062,42210,6309,35880,0,Debit Card
